CV_ID,Resume_Text,Skills,Education,Experience_Years,Job_ID,Job_Title,Required_Skills_For_The_Job,Job_Fit_Score,Outcome
cv0001,"Experienced professional skilled in Deep Learning, Project Management, Java, SQL, Leadership, Node.js.","Deep Learning, Project Management, Java, SQL, Leadership, Node.js",M.Tech,15,Job_102,Software Engineer,"Agile, Communication, Leadership, SQL, Project Management",0.76,Hired
cv0002,"Experienced professional skilled in Node.js, React, Python, C++, Project Management.","Node.js, React, Python, C++, Project Management",MBA,10,Job_108,Machine Learning Engineer,"Java, Deep Learning",0.4,Rejected
cv0003,"Experienced professional skilled in Leadership, React, Java.","Leadership, React, Java",MBA,2,Job_132,Frontend Developer,"Java, Deep Learning, Communication, React",0.38,Rejected
cv0004,"Experienced professional skilled in C++, Leadership, Deep Learning.","C++, Leadership, Deep Learning",B.Sc,15,Job_373,Frontend Developer,"Python, SQL, Leadership, Project Management, Scrum",0.52,Shortlisted
cv0005,"Experienced professional skilled in SQL, Deep Learning, Communication.","SQL, Deep Learning, Communication",B.Tech,2,Job_278,Machine Learning Engineer,"Deep Learning, Node.js",0.38,Rejected
cv0006,"Experienced professional skilled in SQL, Deep Learning, Leadership.","SQL, Deep Learning, Leadership",B.Sc,1,Job_492,Machine Learning Engineer,"Python, Deep Learning, Agile, Machine Learning",0.19,Rejected
cv0007,"Experienced professional skilled in Java, Project Management, SQL, Scrum.","Java, Project Management, SQL, Scrum",M.Tech,15,Job_401,Project Manager,"Node.js, Machine Learning",0.4,Rejected
cv0008,"Experienced professional skilled in Agile, Machine Learning, C++, Communication, Node.js.","Agile, Machine Learning, C++, Communication, Node.js",M.Tech,12,Job_159,Project Manager,"Scrum, Communication, Agile",0.8,Hired
cv0009,"Experienced professional skilled in Deep Learning, Communication, Scrum, Machine Learning.","Deep Learning, Communication, Scrum, Machine Learning",B.Sc,4,Job_185,Project Manager,"Communication, Leadership, React, SQL, Scrum",0.4,Rejected
cv0010,"Experienced professional skilled in React, SQL, Deep Learning, Project Management, C++.","React, SQL, Deep Learning, Project Management, C++",MBA,12,Job_331,Data Scientist,"SQL, Leadership, Project Management, Scrum, React",0.76,Hired
cv0011,"Experienced professional skilled in Machine Learning, Agile, C++, Project Management, Leadership, Python.","Machine Learning, Agile, C++, Project Management, Leadership, Python",M.Sc,8,Job_136,Machine Learning Engineer,"Node.js, SQL",0.32,Rejected
cv0012,"Experienced professional skilled in Leadership, React, Machine Learning, Scrum, Project Management.","Leadership, React, Machine Learning, Scrum, Project Management",M.Tech,9,Job_282,Data Scientist,"Communication, Machine Learning, Node.js",0.56,Shortlisted
cv0013,"Experienced professional skilled in SQL, Project Management, Java, Communication, C++, Leadership.","SQL, Project Management, Java, Communication, C++, Leadership",MBA,5,Job_83,Backend Developer,"React, Scrum, SQL",0.4,Rejected
cv0014,"Experienced professional skilled in Agile, React, C++, SQL, Machine Learning, Deep Learning.","Agile, React, C++, SQL, Machine Learning, Deep Learning",B.Sc,7,Job_51,Data Scientist,"Node.js, Java",0.28,Rejected
cv0015,"Experienced professional skilled in Project Management, React, C++.","Project Management, React, C++",B.Tech,4,Job_160,Frontend Developer,"C++, Leadership, Node.js, SQL, Machine Learning",0.28,Rejected
cv0016,"Experienced professional skilled in Scrum, SQL, Project Management, Agile, C++.","Scrum, SQL, Project Management, Agile, C++",B.Sc,12,Job_323,Data Scientist,"SQL, C++, Python",0.8,Hired
cv0017,"Experienced professional skilled in Java, Project Management, Node.js, Deep Learning, Agile, SQL.","Java, Project Management, Node.js, Deep Learning, Agile, SQL",M.Sc,9,Job_251,Data Scientist,"Python, Communication, Agile, Node.js, React",0.6,Shortlisted
cv0018,"Experienced professional skilled in Java, Deep Learning, React, Project Management, Agile.","Java, Deep Learning, React, Project Management, Agile",B.Tech,15,Job_313,Project Manager,"Python, Scrum",0.4,Rejected
cv0019,"Experienced professional skilled in Communication, Machine Learning, Project Management.","Communication, Machine Learning, Project Management",M.Tech,10,Job_352,Backend Developer,"Leadership, C++, Scrum, React, Communication",0.52,Shortlisted
cv0020,"Experienced professional skilled in Java, Agile, Communication, SQL.","Java, Agile, Communication, SQL",MBA,8,Job_242,Data Scientist,"Deep Learning, C++, Communication",0.52,Shortlisted
cv0021,"Experienced professional skilled in Communication, SQL, Java, Project Management, Scrum.","Communication, SQL, Java, Project Management, Scrum",M.Tech,14,Job_130,Frontend Developer,"Scrum, React, Node.js",0.6,Shortlisted
cv0022,"Experienced professional skilled in Deep Learning, Agile, C++, Node.js, Machine Learning, Project Management.","Deep Learning, Agile, C++, Node.js, Machine Learning, Project Management",M.Tech,8,Job_457,Project Manager,"Node.js, C++, Communication",0.72,Shortlisted
cv0023,"Experienced professional skilled in Project Management, C++, Scrum.","Project Management, C++, Scrum",M.Sc,15,Job_339,Software Engineer,"Python, Node.js, React, Project Management, Java",0.52,Shortlisted
cv0024,"Experienced professional skilled in React, Deep Learning, Scrum, Machine Learning, Agile, SQL.","React, Deep Learning, Scrum, Machine Learning, Agile, SQL",B.Tech,13,Job_43,Frontend Developer,"Node.js, SQL, Deep Learning, Java",0.7,Shortlisted
cv0025,"Experienced professional skilled in Agile, Leadership, Java, Communication.","Agile, Leadership, Java, Communication",B.Sc,5,Job_171,Software Engineer,"C++, Node.js, Scrum, Java",0.35,Rejected
cv0026,"Experienced professional skilled in Java, C++, Project Management, SQL, Machine Learning.","Java, C++, Project Management, SQL, Machine Learning",B.Tech,10,Job_69,Project Manager,"Python, Machine Learning",0.7,Shortlisted
cv0027,"Experienced professional skilled in Agile, Node.js, Python, Scrum.","Agile, Node.js, Python, Scrum",M.Tech,10,Job_249,Data Scientist,"Communication, Agile, Project Management, React, C++",0.52,Shortlisted
cv0028,"Experienced professional skilled in Communication, React, Leadership, Scrum, Agile, Node.js.","Communication, React, Leadership, Scrum, Agile, Node.js",B.Sc,15,Job_413,Backend Developer,"Python, Deep Learning, C++",0.4,Rejected
cv0029,"Experienced professional skilled in Scrum, Java, Leadership, Deep Learning.","Scrum, Java, Leadership, Deep Learning",MBA,12,Job_236,Project Manager,"Node.js, Communication",0.4,Rejected
cv0030,"Experienced professional skilled in Scrum, React, Machine Learning, Communication, Java, Leadership.","Scrum, React, Machine Learning, Communication, Java, Leadership",M.Sc,11,Job_40,Machine Learning Engineer,"Machine Learning, Scrum, SQL, Project Management",0.7,Shortlisted
cv0031,"Experienced professional skilled in Project Management, Agile, C++, Node.js, React.","Project Management, Agile, C++, Node.js, React",MBA,5,Job_353,Machine Learning Engineer,"SQL, C++, Communication, Project Management",0.5,Shortlisted
cv0032,"Experienced professional skilled in Scrum, Leadership, Machine Learning, SQL, Python, Deep Learning.","Scrum, Leadership, Machine Learning, SQL, Python, Deep Learning",B.Sc,14,Job_210,Machine Learning Engineer,"React, Machine Learning, Agile, Deep Learning",0.7,Shortlisted
cv0033,"Experienced professional skilled in Python, Project Management, Communication, Leadership.","Python, Project Management, Communication, Leadership",M.Sc,8,Job_228,Machine Learning Engineer,"C++, Deep Learning, Project Management, Scrum",0.47,Rejected
cv0034,"Experienced professional skilled in C++, Communication, Python.","C++, Communication, Python",B.Tech,2,Job_242,Project Manager,"Machine Learning, SQL, Deep Learning, Node.js, React",0.08,Rejected
cv0035,"Experienced professional skilled in SQL, Communication, Project Management, Node.js.","SQL, Communication, Project Management, Node.js",M.Sc,9,Job_65,Data Scientist,"Deep Learning, Python",0.36,Rejected
